Airport_ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ,Type,Source
2308,Miyazaki Airport,Miyazaki,Japan,KMI,RJFM,31.87719917,131.4490051,20,9,U,Asia/Tokyo,airport,OurAirports
2309,Nyutabaru Airport,Nyutabaru,Japan,\N,RJFN,32.08359909,131.451004,259,9,U,Asia/Tokyo,airport,OurAirports
2310,Oita Airport,Oita,Japan,OIT,RJFO,33.47940063,131.7369995,19,9,U,Asia/Tokyo,airport,OurAirports
2311,Kitaky?sh? Airport,Kitakyushu,Japan,KKJ,RJFR,33.84590149,131.0350037,21,9,U,Asia/Tokyo,airport,OurAirports
2312,Kumamoto Airport,Kumamoto,Japan,KMJ,RJFT,32.83729935,130.8549957,642,9,U,Asia/Tokyo,airport,OurAirports
2313,Nagasaki Airport,Nagasaki,Japan,NGS,RJFU,32.91690063,129.9140015,15,9,U,Asia/Tokyo,airport,OurAirports
2314,Kanoya Airport,Kanoya,Japan,\N,RJFY,31.36759949,130.8450012,214,9,U,Asia/Tokyo,airport,OurAirports
2315,Tsuiki Air Field,Tsuiki,Japan,\N,RJFZ,33.68500137,131.0399933,55,9,U,Asia/Tokyo,airport,OurAirports
2316,Amami Airport,Amami,Japan,ASJ,RJKA,28.43059921,129.7129974,27,9,U,Asia/Tokyo,airport,OurAirports
2317,Okierabu Airport,Okierabu,Japan,OKE,RJKB,27.42550087,128.701004,101,9,U,Asia/Tokyo,airport,OurAirports
2318,Tokunoshima Airport,Tokunoshima,Japan,TKN,RJKN,27.83639908,128.8809967,17,9,U,Asia/Tokyo,airport,OurAirports
2319,Fukui Airport,Fukui,Japan,FKJ,RJNF,36.14279938,136.223999,19,9,U,Asia/Tokyo,airport,OurAirports
2320,Gifu Airport,Gifu,Japan,QGU,RJNG,35.39410019,136.8699951,128,9,U,Asia/Tokyo,airport,OurAirports
2321,Hamamatsu Airport,Hamamatsu,Japan,\N,RJNH,34.75019836,137.7030029,150,9,U,Asia/Tokyo,airport,OurAirports
